location_key;date;country_code;country_name;new_confirmed;new_deceased;cumulative_confirmed;cumulative_deceased;cumulative_vaccine_doses_administered;population;population_male;population_female;population_rural;population_urban;population_density;human_development_index;population_age_00_09;population_age_10_19;population_age_20_29;population_age_30_39;population_age_40_49;population_age_50_59;population_age_60_69;population_age_70_79;population_age_80_and_older;gdp_usd;gdp_per_capita_usd;latitude;longitude;area_sq_km;smoking_prevalence;diabetes_prevalence;infant_mortality_rate;nurses_per_1000;physicians_per_1000;average_temperature_celsius;minimum_temperature_celsius;maximum_temperature_celsius;rainfall_mm;relative_humidity;population_largest_city;area_rural_sq_km;area_urban_sq_km;life_expectancy;adult_male_mortality_rate;adult_female_mortality_rate;pollution_mortality_rate;comorbidity_mortality_rate;new_recovered;cumulative_recovered;nivel_recuperacion;mes;median_age
AR;2021-01-21;AR;Argentina;10402,0;219,0;1882857,0;49898,0;124635,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;25,73;16,15;32,52;0,0;48,96;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-22;AR;Argentina;9964,0;184,0;1892821,0;50082,0;128560,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;27,08;16,81;33,34;0,0;53,42;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-23;AR;Argentina;6677,0;176,0;1899498,0;50258,0;130257,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;28,39;19,5;34,23;0,0;54,38;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-24;AR;Argentina;3770,0;192,0;1903268,0;50450,0;130385,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;27,99;20,7;34,57;0,89;57,95;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-25;AR;Argentina;10045,0;184,0;1913313,0;50634,0;136432,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;28,13;20,02;35,09;0,51;59,38;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-26;AR;Argentina;10304,0;191,0;1923617,0;50825,0;141966,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;26,27;19,98;35,02;4,95;64,94;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-27;AR;Argentina;9888,0;189,0;1933505,0;51014,0;146224,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;26,82;18,12;32,89;0,06;55,91;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-28;AR;Argentina;9265,0;168,0;1942770,0;51182,0;153122,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;23,81;17,91;33,11;15,32;65,17;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-29;AR;Argentina;8722,0;152,0;1951492,0;51334,0;163197,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;23,17;15,27;29,83;33,86;70,83;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-30;AR;Argentina;6385,0;167,0;1957877,0;51501,0;167354,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;19,53;15,55;29,3;29,77;82,9;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
